שאלה,תשובות,תשובה נכונה,מושג,פרק
מהן הצדקות הקשורות לאירועים מהעבר של העם (כמו הגלות והשואה)?,הצדקות היסטוריות / משפטיות / טבעיות,הצדקות היסטוריות,הצדקות היסטוריות,רקע היסטורי והכרזת העצמאות
הגדר הצדקה הנובעת מתמיכה או הכרה בינלאומית רשמית.,הצדקה טבעית / הצדקה משפטית / הצדקה מוסרית,הצדקה משפטית,הצדקות המשפטיות,רקע היסטורי והכרזת העצמאות
הבא דוגמה אחת להחלטה רשמית המהווה הצדקה משפטית.,תכנית החלוקה / הגנה עצמית / השואה,תכנית החלוקה,הצדקות המשפטיות,רקע היסטורי והכרזת העצמאות
למה חשוב היה לציין את הצהרת בלפור בחלק ההיסטורי של המגילה?,כהצדקה משפטית / כהצדקה טבעית / כמאפיין דמוקרטי,כהצדקה משפטית,הצדקות המשפטיות,רקע היסטורי והכרזת העצמאות
מהי הזכות הטבעית שעליה נשענת הקמת המדינה?,הזכות להגדרה עצמית / הזכות לחיים / הזכות לקניין,הזכות להגדרה עצמית,הצדקה טבעית/אוניברסאלית,רקע היסטורי והכרזת העצמאות
"""זכותו של כל עם להגדרה עצמית"" - זוהי הצדקה...",היסטורית / משפטית / טבעית,טבעית,הצדקה טבעית/אוניברסאלית,רקע היסטורי והכרזת העצמאות
"אם האו""ם לא היה מאשר את הקמת המדינה, על איזו הצדקה היינו נשענים?",הצדקה משפטית / הצדקה טבעית / הצדקה בינלאומית,הצדקה טבעית,הצדקה טבעית/אוניברסאלית,רקע היסטורי והכרזת העצמאות
ציין דוגמה לביטוי האופי היהודי של המדינה בהכרזה.,קיום בחירות / פתיחת שערים ליהודים / חופש דת,פתיחת שערים ליהודים,מאפיינים יהודיים,מאפייני המדינה ופניות
פתיחת שערי המדינה לכל יהודי היא מאפיין...,יהודי / דמוקרטי / אוניברסלי,יהודי,מאפיינים יהודיים,מאפייני המדינה ופניות
על אילו יסודות מורשת תיבנה המדינה לפי המגילה?,דמוקרטיה מערבית / מורשת נביאי ישראל / החוק הבריטי,מורשת נביאי ישראל,מאפיינים יהודיים,מאפייני המדינה ופניות
ציין הבטחה במגילה המראות שהמדינה תהיה דמוקרטית.,שוויון זכויות / קיבוץ גלויות / תאריך עברי,שוויון זכויות,מאפיינים דמוקרטיים,מאפייני המדינה ופניות
"""שוויון זכויות גמור ללא הבדל דת גזע ומין"" - זהו מאפיין...",דתי / יהודי / דמוקרטי,דמוקרטי,מאפיינים דמוקרטיים,מאפייני המדינה ופניות
איזה מוסד או הליך מוזכר במגילה המעיד על אופיה הדמוקרטי?,הצבא / המוסדות הנבחרים (בחירות) / מועצת העם,בחירות,מאפיינים דמוקרטיים,מאפייני המדינה ופניות
למה קוראת המגילה לערבים תושבי המדינה שזה עתה קמה?,לעזוב את הארץ / לשמור על השלום ולקחת חלק בבניין המדינה / להילחם,לשמור על השלום ולקחת חלק בבניין המדינה,פניות לגורמים שונים (לערבים),מאפייני המדינה ופניות
על איזה יסוד מוצע לערביי ישראל לקחת חלק בבניין המדינה?,אזרחות מלאה ושווה / אוטונומיה / זכויות תושב,אזרחות מלאה ושווה,פניות לגורמים שונים (לערבים),מאפייני המדינה ופניות
מה מבטיחה המגילה לערביי ישראל בנוגע למוסדות השלטון?,ייצוג מתאים / תפקידי שרים / מפלגה משלהם,ייצוג מתאים,פניות לגורמים שונים (לערבים),מאפייני המדינה ופניות
מהו עקרון היסוד הקובע שהאזרחים הם הריבון ומקור הסמכות?,הכרעת הרוב / שלטון העם / שלטון החוק,שלטון העם,עקרון שלטון העם,עקרונות דמוקרטיים ובחירות
באיזו דרך האזרחים מממשים את שלטון העם בדמוקרטיה עקיפה?,הפגנות / בחירת נציגים / משאל עם,בחירת נציגים,עקרון שלטון העם,עקרונות דמוקרטיים ובחירות
מדוע נקבע בחוק שהשלטון ייבחר רק לזמן קצוב?,כדי לאפשר חילופי שלטון / כדי לחסוך כסף / כי ככה זה בדמוקרטיה,כדי לאפשר חילופי שלטון,עקרון שלטון העם,עקרונות דמוקרטיים ובחירות
ציין את חמשת התנאים ההכרחיים לבחירות דמוקרטיות.,"כלליות, חשאיות, מחזוריות, שוויוניות, התמודדות חופשית / דת, גזע, מין, לשון / חופש, שוויון, צדק","כלליות, חשאיות, מחזוריות, שוויוניות, התמודדות חופשית",בחירות דמוקרטיות,עקרונות דמוקרטיים ובחירות
איזה תנאי מבטיח שקולו של כל מצביע שווה למשנהו?,כלליות / שוויוניות / חופשיות,שוויוניות,שוויוניות,עקרונות דמוקרטיים ובחירות
איזה תנאי מגן על הבוחר מפני לחצים של גורמים שונים?,חשאיות / מחזוריות / שוויוניות,חשאיות,חשאיות,עקרונות דמוקרטיים ובחירות
"מה זה אומר ששיטת הבחירות בישראל היא ""ארצית""?",כל הארץ היא אזור בחירה אחד / בוחרים לפי ערים / בוחרים לפי מחוזות,כל הארץ היא אזור בחירה אחד,שיטת בחירות ארצית,עקרונות דמוקרטיים ובחירות
"כיצד מחלקים את המושבים בכנסת לפי השיטה ה""יחסית""?",לפי הצלחת המועמד / יחסית למספר הקולות של הרשימה / לפי החלטת הנשיא,יחסית למספר הקולות של הרשימה,שיטת בחירות יחסית,עקרונות דמוקרטיים ובחירות
"מהי ""שיטה רשימתית"" ולמי האזרח מצביע בשיטה זו?",מצביעים לאדם ספציפי / מצביעים למפלגה עם רשימת מועמדים קבועה / מצביעים לממשלה,מצביעים למפלגה עם רשימת מועמדים קבועה,שיטת בחירות רשימתית,עקרונות דמוקרטיים ובחירות
מהי המטרה העיקרית של קביעת אחוז חסימה בבחירות?,לעודד מפלגות קטנות / להגביל את מספר המפלגות בפרלמנט / לחסוך בהוצאות בחירות,להגביל את מספר המפלגות בפרלמנט,אחוז החסימה,עקרונות דמוקרטיים ובחירות
מהו אחוז החסימה הנוכחי בישראל וכמה מנדטים הוא שווה בערך?,1.5% (2 מנדטים) / 3.25% (4 מנדטים) / 5% (6 מנדטים),3.25% (4 מנדטים),אחוז החסימה,עקרונות דמוקרטיים ובחירות
מה קורה למפלגה שקיבלה 2% מהקולות בבחירות בישראל?,נכנסת לכנסת עם 2 מנדטים / לא נכנסת לכנסת / מקבלת מנדט אחד,לא נכנסת לכנסת,אחוז החסימה,עקרונות דמוקרטיים ובחירות
כיצד מתקבלת החלטה כשיש כמה אפשרויות במערכת דמוקרטית?,לפי החלטת הרוב / לפי החלטת המומחים / לפי הגרלה,לפי החלטת הרוב,עקרון הכרעת הרוב,עקרונות דמוקרטיים ובחירות
מה אסור לרוב לעשות במסגרת החלטותיו בדמוקרטיה?,להעלות מיסים / לפגוע באופן בלתי מוצדק בזכויות יסוד ובמיעוט / לשנות את החוק,לפגוע באופן בלתי מוצדק בזכויות יסוד ובמיעוט,עקרון הכרעת הרוב,עקרונות דמוקרטיים ובחירות
"מתי הכרעת הרוב הופכת למושג השלילי ""עריצות הרוב""?",כשהרוב מנצח בבחירות / כשהרוב מנצל את כוחו לרעה / כשיש רוב גדול מאוד,כשהרוב מנצל את כוחו לרעה,עריצות הרוב,עקרונות דמוקרטיים ובחירות
מהו התפקיד העיקרי של הכנסת כרשות המחוקקת?,לנהל את המדינה / חקיקת חוקים / לשפוט עבריינים,חקיקת חוקים,הרשות המחוקקת,מוסדות השלטון ופיקוח
ציין שני גופים או בעלי תפקידים בכירים שהכנסת בוחרת/ממנה.,"ראש הממשלה והשרים / נשיא המדינה ומבקר המדינה / השופטים והרמטכ""ל",נשיא המדינה ומבקר המדינה,תפקידי הכנסת,מוסדות השלטון ופיקוח
כיצד הכנסת מפקחת על הממשלה? ציין 2 דוגמאות לכלים.,הפגנות ושביתות / אישור תקציב ושאילתות / מינוי שרים וניהול משרדים,אישור תקציב ושאילתות,תפקידי הכנסת,מוסדות השלטון ופיקוח
מה ההבדל העיקרי בין הרכב המליאה להרכב הוועדות?,"במליאה 120 ח""כים, בוועדות רק חלק / בוועדות יש מומחים וצבא / אין הבדל","במליאה 120 ח""כים, בוועדות רק חלק",מליאה / ועדות,מוסדות השלטון ופיקוח
איפה נערך דיון מקצועי ומפורט על סעיפי חוק עם אנשי מקצוע?,באולם המליאה / בוועדות הכנסת / במשרד ראש הממשלה,בוועדות הכנסת,ועדות הכנסת,מוסדות השלטון ופיקוח
איזה מהנושאים הבאים נדון ומוכרע באולם המליאה?,"ניסוח סעיף טכני בחוק / הצעת אי אמון / בחירת יו""ר ועדה",הצעת אי אמון,מליאה,מוסדות השלטון ופיקוח
"מהי המשמעות של הצבעת ""אי אמון"" בממשלה?",קביעה שהממשלה נכשלה / סיום כהונת הממשלה / דחיית חוק של הממשלה,סיום כהונת הממשלה,הצעת אי אמון,מוסדות השלטון ופיקוח
"מהם התנאים לקבלת הצבעת אי-אמון בישראל (מספר ח""כים ומועמד)?","רוב רגיל / 61 ח""כים ותמיכה במועמד חלופי / 120 ח""כים","61 ח""כים ותמיכה במועמד חלופי",הצעת אי אמון,מוסדות השלטון ופיקוח
מדוע הממשלה צריכה את אמון הכנסת כדי לתפקד?,כי הכנסת משלמת משכורות / כי הממשלה תלויה באמון הפרלמנט / כי הכנסת היא הבוס,כי הממשלה תלויה באמון הפרלמנט,הצעת אי אמון,מוסדות השלטון ופיקוח
מהו המסמך שקובע את סדר העדיפויות הכלכלי של המדינה לשנה?,חוק העונשין / חוק התקציב / תקנון הכנסת,חוק התקציב,חוק התקציב,מוסדות השלטון ופיקוח
מה קורה לממשלה באופן אוטומטי אם חוק התקציב לא עובר בכנסת?,הממשלה מתחלפת חלקית / הכנסת מתפזרת והממשלה נופלת / הממשלה ממשיכה בלי כסף,הכנסת מתפזרת והממשלה נופלת,חוק התקציב,מוסדות השלטון ופיקוח
לכמה זמן נקבע תקציב המדינה בדרך כלל לפי החוק?,ל-4 שנים / לשנה אחת (ובמקרים חריגים לשנתיים) / לחצי שנה,לשנה אחת (ובמקרים חריגים לשנתיים),חוק התקציב,מוסדות השלטון ופיקוח
מהי המשמעות המרכזית של המושג ריבונות מדינית?,"ניהול ענייני פנים וחוץ ללא התערבות זרה / תלות מוחלטת באו""ם / שלטון אזרחי על הצבא",ניהול ענייני פנים וחוץ ללא התערבות זרה,ריבונות,רקע היסטורי והכרזת העצמאות
"כאשר מדינה זרה מכתיבה למדינה אחרת אילו חוקים לחוקק, באיזה עקרון היא פוגעת?",עקרון הדמוקרטיה / עקרון הריבונות / עקרון הכרעת הרוב,עקרון הריבונות,ריבונות,רקע היסטורי והכרזת העצמאות
מהו התנאי ההכרחי כדי שיישות תוגדר כמדינה עצמאית?,"קיום צבא גדול / חברות באו""ם / ריבונות",ריבונות,ריבונות,רקע היסטורי והכרזת העצמאות
איזה גוף שימש כמעין פרלמנט זמני לקראת סיום המנדט הבריטי?,מנהלת העם / מועצת העם / הכנסת,מועצת העם,מועצת העם,רקע היסטורי והכרזת העצמאות
מי היו חתומים על מגילת העצמאות של מדינת ישראל?,"חברי מועצת העם / חברי מנהלת העם / נציגי האו""ם",חברי מועצת העם,מועצת העם,רקע היסטורי והכרזת העצמאות
מה היה תפקידה המרכזי של מועצת העם לפני הקמת הכנסת?,לשמש כרשות שופטת זמנית / לשמש כרשות מחוקקת זמנית / לפקד על כוחות הביטחון,לשמש כרשות מחוקקת זמנית,מועצת העם,רקע היסטורי והכרזת העצמאות
איזה גוף הוקם עם הכרזת המדינה כדי לשמש כרשות המבצעת (הממשלה) הזמנית?,מועצת העם / מנהלת העם / הסוכנות היהודית,מנהלת העם,מנהלת העם,רקע היסטורי והכרזת העצמאות
מה ההבדל בין מועצת העם למנהלת העם?,המועצה הייתה פרלמנט והמנהלת ממשלה / המועצה הייתה ממשלה והמנהלת פרלמנט / לא היה הבדל ביניהן,המועצה הייתה פרלמנט והמנהלת ממשלה,מנהלת העם,רקע היסטורי והכרזת העצמאות
מי היה הגוף שאחראי על הניהול המעשי של מדינת ישראל בימיה הראשונים?,"מנהלת העם / מועצת העם / צה""ל",מנהלת העם,מנהלת העם,רקע היסטורי והכרזת העצמאות
באיזה תאריך הוכרזה הקמתה של מדינת ישראל ונחתמה מגילת העצמאות?,14 במאי 1948 / 29 בנובמבר 1947 / 5 ביוני 1967,14 במאי 1948,הכרזת/מגילת העצמאות,רקע היסטורי והכרזת העצמאות
אילו מהחלקים הבאים אינו מהווה חלק מהמבנה של מגילת העצמאות?,הצדקות להקמת המדינה / חוקה משפטית מפורטת / פניות לגורמים שונים,חוקה משפטית מפורטת,הכרזת/מגילת העצמאות,רקע היסטורי והכרזת העצמאות
מהי המשמעות של החלק האופרטיבי במגילת העצמאות?,החלטה מעשית על הקמת המדינה ומוסדותיה / שרטוט גבולות הקבע של המדינה / כתיבת חוקי היסוד,החלטה מעשית על הקמת המדינה ומוסדותיה,הכרזת/מגילת העצמאות,רקע היסטורי והכרזת העצמאות
מהם שלושת סמליה הרשמיים של מדינת ישראל?,"דגל, סמל והמנון / דרכון, שפה ומטבע / כנסת, ממשלה ובית משפט","דגל, סמל והמנון",סמלי המדינה,רקע היסטורי והכרזת העצמאות
איזה מסמלי המדינה נוצר בהשראת מגן דוד ופסי הטלית?,דגל המדינה / סמל המדינה / המנון המדינה,דגל המדינה,סמלי המדינה,רקע היסטורי והכרזת העצמאות
מנורה וענפי זית הם המרכיבים המרכזיים של איזה סמל לאומי?,"דגל המדינה / סמל המדינה / סמל צה""ל",סמל המדינה,סמלי המדינה,רקע היסטורי והכרזת העצמאות
איזה לוח שנה משמש כלוח הרשמי של מדינת ישראל לציון חגים וימי שבתון?,הלוח הגרגוריאני / הלוח העברי / הלוח המוסלמי,הלוח העברי,לוח השנה העברי,רקע היסטורי והכרזת העצמאות
כיצד בא לידי ביטוי מעמדו של הלוח העברי במסמכים רשמיים של המדינה?,יש חובה לציין את התאריך העברי / מציינים רק את התאריך הלועזי / מותר להשתמש בו רק בבתי דין רבניים,יש חובה לציין את התאריך העברי,לוח השנה העברי,רקע היסטורי והכרזת העצמאות
קביעת ימי השבתון וחגי ישראל על פי הלוח העברי היא ביטוי ל...,"אופייה הדמוקרטי של המדינה / אופייה היהודי של המדינה / החלטת האו""ם",אופייה היהודי של המדינה,לוח השנה העברי,רקע היסטורי והכרזת העצמאות
איזו שפה מוגדרת כיום בחוק יסוד כשפתה הרשמית של מדינת ישראל?,עברית / אנגלית / עברית וערבית יחד,עברית,מעמד השפה העברית,רקע היסטורי והכרזת העצמאות
מהו מעמדה של השפה הערבית בישראל כיום על פי חוק הלאום?,שפה רשמית שווה לעברית / בעלת מעמד מיוחד / אין לה שום מעמד חוקי,בעלת מעמד מיוחד,מעמד השפה העברית,רקע היסטורי והכרזת העצמאות
קביעת העברית כשפתה המרכזית של המדינה מדגישה את...,היותה מדינת כל אזרחיה / היותה מדינת לאום יהודית / היותה מדינה פלורליסטית,היותה מדינת לאום יהודית,מעמד השפה העברית,רקע היסטורי והכרזת העצמאות
מהו המאפיין הבסיסי ביותר של זכויות האדם הטבעיות?,השלטון מעניק אותן לאזרחים / הן מוקנות לכל אדם מעצם היותו אדם / הן תלויות במילוי חובות למדינה,הן מוקנות לכל אדם מעצם היותו אדם,זכויות האדם הטבעיות,זכויות וחובות
האם רשות שלטונית רשאית לבטל לחלוטין את זכויותיו הטבעיות של אדם?,"כן, על ידי חוק בכנסת / לא, כי הן אינן מוענקות על ידה / כן, במקרה של מצב חירום","לא, כי הן אינן מוענקות על ידה",זכויות האדם הטבעיות,זכויות וחובות
אילו מבין הזכויות הבאות הן כולן זכויות אדם טבעיות?,"בחירה, שוויון וכבוד / חיים, קניין, חירות ושוויון / חופש ההתאגדות וקניין","חיים, קניין, חירות ושוויון",זכויות האדם הטבעיות,זכויות וחובות
מה מאפיין את קבוצת הזכויות הפוליטיות והאזרחיות?,הן עוסקות בשותפות בניהול המדינה ובהשפעה על השלטון / הן קשורות לרווחה כלכלית בלבד / הן מוענקות רק למי ששירת בצבא,הן עוסקות בשותפות בניהול המדינה ובהשפעה על השלטון,זכויות פוליטיות/אזרחיות,זכויות וחובות
איזו מהזכויות הבאות מוענקת באופן בלעדי לאזרחי המדינה בלבד?,חופש ההפגנה / הזכות לבחור ולהיבחר / חופש הביטוי,הזכות לבחור ולהיבחר,זכויות פוליטיות/אזרחיות,זכויות וחובות
חופש ההפגנה וביקורת על השלטון שייכות לזכויות פוליטיות-אזרחיות. למי הן ניתנות?,לכל אדם הנמצא במדינה / לאזרחים בלבד / לחברי כנסת בלבד,לכל אדם הנמצא במדינה,זכויות פוליטיות/אזרחיות,זכויות וחובות
כיצד מממש האזרח את יכולתו לקבוע את הרכב השלטון בדמוקרטיה ייצוגית?,באמצעות חופש העיסוק / באמצעות הזכות לבחור ולהיבחר / באמצעות הזכות להליך הוגן,באמצעות הזכות לבחור ולהיבחר,הזכות לבחור ולהיבחר,זכויות וחובות
איזה עקרון דמוקרטי מרכזי בא לידי ביטוי מעשי באמצעות הזכות לבחור ולהיבחר?,שלטון החוק / שלטון העם / זכויות המיעוט,שלטון העם,הזכות לבחור ולהיבחר,זכויות וחובות
למי מוענקת הזכות להיבחר לכנסת ישראל?,לכל תושב במדינה / לאזרחי המדינה שעמדו בתנאי החוק (כמו גיל) / רק למי שנולד בישראל,לאזרחי המדינה שעמדו בתנאי החוק (כמו גיל),הזכות לבחור ולהיבחר,זכויות וחובות
מה מאפשר חופש ההתאגדות הפוליטית לאזרחים?,להקים מפלגות וארגונים לקידום מטרות משותפות / לקבל מימון מהמדינה לכל מטרה / לעבוד בכל מקצוע שירצו,להקים מפלגות וארגונים לקידום מטרות משותפות,חופש ההתאגדות (התארגנות פוליטית),זכויות וחובות
באיזו זכות פוליטית משתמשים אזרחים שמחליטים להקים תנועת מחאה רשמית?,חופש המצפון / חופש ההתאגדות / הזכות להליך הוגן,חופש ההתאגדות,חופש ההתאגדות (התארגנות פוליטית),זכויות וחובות
מתי רשאית המדינה להגביל את חופש ההתאגדות של קבוצה מסוימת?,כשהקבוצה מתנגדת לממשלה / כשהקבוצה פועלת נגד קיום המדינה או אופייה הדמוקרטי / אסור להגביל בשום מצב,כשהקבוצה פועלת נגד קיום המדינה או אופייה הדמוקרטי,חופש ההתאגדות (התארגנות פוליטית),זכויות וחובות
לשם מה נועדה הזכות להפגין ולמחות בדמוקרטיה?,להביע דעה בפומבי ולייצר לחץ לשינוי שלטוני / להרוויח כסף מהמדינה / למנוע מהמשטרה לפעול,להביע דעה בפומבי ולייצר לחץ לשינוי שלטוני,הזכות להפגין ולמחות,זכויות וחובות
הזכות להפגין ולמחות היא נגזרת מעשית של איזו זכות אחרת?,חופש התנועה / חופש הביטוי / חופש העיסוק,חופש הביטוי,הזכות להפגין ולמחות,זכויות וחובות
תחת אילו נסיבות רשאית המשטרה להגביל את הזכות להפגין?,רק לפי החלטת ראש העיר / כאשר יש ודאות קרובה לסכנה ממשית לשלום הציבור / לא ניתן להגביל הפגנות כלל,כאשר יש ודאות קרובה לסכנה ממשית לשלום הציבור,הזכות להפגין ולמחות,זכויות וחובות
מהי החובה המוסרית הבסיסית ביותר של אדם כלפי זולתו?,לשלם מיסים / להכיר בזכויותיו ולהימנע מפגיעה בהן / להתגייס לצבא,להכיר בזכויותיו ולהימנע מפגיעה בהן,חובות האדם כאדם,זכויות וחובות
אדם המדווח לרשויות על מעשה אלימות כלפי שכנו מקיים את...,חובת האדם כאזרח / חובת האדם כאדם / חופש הביטוי,חובת האדם כאדם,חובות האדם כאדם,זכויות וחובות
האם החובה שלא לפגוע בכבודו של אדם אחר קיימת רק כלפי אזרחי המדינה?,"כן, החוק מגן רק על אזרחים / לא, זוהי חובת אדם כלפי כל אדם באשר הוא / כן, רק במדינות דמוקרטיות","לא, זוהי חובת אדם כלפי כל אדם באשר הוא",חובות האדם כאדם,זכויות וחובות
איזו מבין הבאות היא דוגמה מובהקת לחובה המוטלת על אדם מתוקף היותו אזרח?,שמירה על פרטיות הזולת / תשלום מיסים וציות לחוקי המדינה / תרומה לארגוני צדקה,תשלום מיסים וציות לחוקי המדינה,חובות האדם כאזרח,זכויות וחובות
שירות צבאי או אזרחי (במדינות בהן החוק דורש זאת) הוא ביטוי ל...,חובת האדם כאדם / חובת האדם כאזרח / פגיעה בחופש התנועה,חובת האדם כאזרח,חובות האדם כאזרח,זכויות וחובות
השתתפות בבחירות והתנדבות בקהילה נחשבות במדינה דמוקרטית ל...,חובה ערכית אזרחית / חובה משפטית שהעובר עליה ייענש / זכות פוליטית שלא ניתן לממש,חובה ערכית אזרחית,חובות האדם כאזרח,זכויות וחובות
מה מתרחש במצב של התנגשות בין זכויות?,הזכות החשובה ביותר תמיד מנצחת לחלוטין / נוצר צורך למצוא פשרה ואיזון תוך פגיעה מידתית / מבטלים את שתי הזכויות,נוצר צורך למצוא פשרה ואיזון תוך פגיעה מידתית,התנגשות בין זכויות,זכויות וחובות
"כאשר שוטר עוצר אדם החשוד באלימות קשה, איזו התנגשות זכויות באה לידי ביטוי?",הזכות לחירות של החשוד מול הזכות לביטחון של הציבור / חופש הביטוי מול הזכות לשם טוב / אפליה מול מדיניות הבחנה,הזכות לחירות של החשוד מול הזכות לביטחון של הציבור,התנגשות בין זכויות,זכויות וחובות
כיצד השלטון מכריע כאשר זכותו של אדם להפגין חוסמת צירי תנועה מרכזיים?,מבטל את זכות ההפגנה / עורך איזון בין חופש ההפגנה לחופש התנועה של הציבור / מאפשר להפגין ללא הגבלה,עורך איזון בין חופש ההפגנה לחופש התנועה של הציבור,התנגשות בין זכויות,זכויות וחובות
מהי הזכות המהווה תנאי מקדים והכרחי למימושן של כל שאר זכויות האדם?,הזכות לשוויון / הזכות לחיים ולביטחון / הזכות לחירות,הזכות לחיים ולביטחון,הזכות לחיים ולביטחון,זכויות וחובות
על מי מוטלת החובה המרכזית להגן על חייו וגופו של כל אדם הנמצא בשטח המדינה?,על ארגוני זכויות אדם / על המדינה ומוסדותיה (משטרה וצבא) / על האזרח בלבד,על המדינה ומוסדותיה (משטרה וצבא),הזכות לחיים ולביטחון,זכויות וחובות
איסור על עינויים והתעללות גופנית על ידי חוקרי משטרה נגזר מתוך...,"הזכות לכבוד ולפרטיות / הזכות לחיים, לביטחון ולשלמות הגוף / הזכות להליך משפטי הוגן","הזכות לחיים, לביטחון ולשלמות הגוף",הזכות לחיים ולביטחון,זכויות וחובות
איזה סוג של קניין מוגן תחת 'הזכות לקניין'?,רק קניין חומרי (כגון רכב ודירה) / קניין חומרי וקניין רוחני (כגון יצירה או פטנט) / רק כספים בבנק,קניין חומרי וקניין רוחני (כגון יצירה או פטנט),הזכות לקניין,זכויות וחובות
"אדם שהעתיק שיר שכתב מישהו אחר ופרסם אותו כאילו הוא שלו, באיזו זכות הוא פגע?",בחופש העיסוק / בזכות לקניין (רוחני) / בזכות לכבוד,בזכות לקניין (רוחני),הזכות לקניין,זכויות וחובות
"האם המדינה רשאית לפגוע בקניינו של אדם (למשל, הפקעת קרקע לבניית כביש)?","לא, הזכות לקניין היא מוחלטת / כן, לצרכי ציבור ותוך מתן פיצוי הולם / כן, בכל עת וללא צורך בפיצוי","כן, לצרכי ציבור ותוך מתן פיצוי הולם",הזכות לקניין,זכויות וחובות
